What does this mean? <br /><h1>誰にでも長所と短所がある。</h1>;<h1>Everyone has both strong and weak points.</h1><span>(だれにでもちょうしょとたんしょがある。)</span>;34122 45503 43932 39274 45547 45486 45512 45523
What does this mean? <br /><h1>お願いだから泣かないで。</h1>;<h1>Please don't cry.</h1><span>(おねがいだからなかないで。)</span>;34026 45587 36542 45480 45549 45514 45582 45585
What does this mean? <br /><h1>授業は八時三十分から始まるから。</h1>;<h1>Class doesn't begin until eight-thirty.</h1><span>(じゅぎょうははちじさんじゅうふんからはじまるから。)</span>;34182 33744 33788 33958 33766 34286 45587 33800 45587 45484 45585
What does this mean? <br /><h1>１０年は待つには長い時間だ。</h1>;<h1>Ten years is a long time to wait.</h1><span>(いちぜろねんはまつにはながいじかんだ。)</span>;33798 33704 34212 33558 45480 45484 45512 45516
What does this mean? <br /><h1>驚かない所をみると知ってたのね。</h1>;<h1>Seeing that you're not surprised, I think you must have known.</h1><span>(おどろかないところをみるとしってたのね。)</span>;36836 34120 45549 45552 45511 45519 45523 45525 45532
What does this mean? <br /><h1>２、３ページの英語を訳すのに２時間以上もかかりました。</h1>;<h1>It took me more than two hours to translate a few pages of English.</h1><span>(に、さんぺーじのえいごをやくすのににじかんいじょうもかかりました。)</span>;34392 34480 36336 33558 35722 39064 45485 45511 45512 45519 45525 45568
What does this mean? <br /><h1>何時ですか。</h1>;<h1>What time do you have?</h1><span>(なんじですか。)</span>;34860 33788 45569 45570
What does this mean? <br /><h1>今日はとても暑い。</h1>;<h1>It is very hot today.</h1><span>(きょうはとてもあつい。)</span>;33608 33510 33662 45484
What does this mean? <br /><h1>彼は約束を破った。</h1>;<h1>He broke his word.</h1><span>(かれはやくそくをやぶった。)</span>;34180 36266 43430 45484 45556 45511
What does this mean? <br /><h1>警察を呼んで！</h1>;<h1>Call the police!</h1><span>(けいさつをよんで！)</span>;36670 34150 45511 45514 45582
What does this mean? <br /><h1>もっと時間が必要だ。</h1>;<h1>I need more time.</h1><span>(もっとじかんがひつようだ。)</span>;33624 33558 34904 45480 45486
What does this mean? <br /><h1>虫歯を侮ると命に係わる場合もあるのです。</h1>;<h1>Making light of cavities can be a matter of life and death.</h1><span>(むしばをあなどるといのちにかかわるばあいもあるのです。)</span>;43728 40326 33612 45547 45485 45511 45512 45519 45523 45525 45569
What does this mean? <br /><h1>どこの関節がはずれたの？</h1>;<h1>Which joint did you dislocate?</h1><span>(どこのかんせつがはずれたの？)</span>;34058 40278 45486 45552 45525
What does this mean? <br /><h1>髪も上げたほうが私は好きだ。</h1>;<h1>I also prefer it with the hair worn up.</h1><span>(かみもあげたほうがわたしはすきだ。)</span>;37014 33952 33528 33530 45480 45484 45485 45486 45552 45519
What does this mean? <br /><h1>政府が住民に問う一般投票を実施しました。</h1>;<h1>The government put the question to the people in a referendum.</h1><span>(せいふがじゅうみんにとういっぱんとうひょうをじっししました。)</span>;35838 36574 42176 35624 40114 35072 34068 45486 45511 45512 45519 45568
What does this mean? <br /><h1>木造建築物は火がつきやすい。</h1>;<h1>Wooden buildings catch fire easily.</h1><span>(もくぞうけんちくぶつはひがつきやすい。)</span>;41246 41176 35482 34630 34604 45484 45486
What does this mean? <br /><h1>靴ひもがとけた。</h1>;<h1>My shoelaces came undone.</h1><span>(くつひもがとけた。)</span>;37392 37406 45486 45552
What does this mean? <br /><h1>カーテンに火が点いた。</h1>;<h1>The curtain caught fire.</h1><span>(かーてんにひがついた。)</span>;34408 34630 45486 45554 45512
What does this mean? <br /><h1>あなたはどこの国の出身ですか。</h1>;<h1>Which country are you from?</h1><span>(あなたはどこのくにのしゅっしんですか。)</span>;34318 34058 33632 42056 45484 45525 45569 45570
What does this mean? <br /><h1>彼は敵を料理した。</h1>;<h1>He easily licked his opponent.</h1><span>(かれはてきをりょうりした。)</span>;34180 43436 36596 34068 45484 45511
What does this mean? <br /><h1>年を取ると目ざとくなる。</h1>;<h1>As one grows old, one becomes a light sleeper.</h1><span>(としをとるとめざとくなる。)</span>;33798 33736 34278 45511 45523 45529
What does this mean? <br /><h1>彼は思ったことを口にする。</h1>;<h1>He's a plain speaker.</h1><span>(かれはおもったことをくちにする。)</span>;34180 33684 33554 34068 45484 45556 45511 45512 45519
What does this mean? <br /><h1>社長が社員の主体的な取り組みを促した。</h1>;<h1>The president urged employees to act on their initiative.</h1><span>(しゃちょうがしゃいんのしゅたいてきなとりくみをうながした。)</span>;34566 36458 40232 42916 45486 45553 45511 45519 45525
What does this mean? <br /><h1>終わったあとも足が軽い感じがしました。</h1>;<h1>I felt very light on my feet afterwards.</h1><span>(おわったあともあしがかるいかんじがしました。)</span>;33982 33936 34262 40626 34068 45485 45486 45556 45519 45568
What does this mean? <br /><h1>これは兄です。かっこいいですね。</h1>;<h1>This is my brother. Handsome, isn't he?</h1><span>(これはあにです。かっこいいですね。)</span>;33490 34140 45542 45484 45539 45532 45569
What does this mean? <br /><h1>窓を開ける時は、カーテンは閉めないで下さい。</h1>;<h1>Please don't draw the curtains when the window is open.</h1><span>(まどをあけるときは、かーてんはしめないでください。)</span>;35252 44798 33788 34408 33556 38608 45484 45548 45511 45514 45519 45582
What does this mean? <br /><h1>僕には彼女の言うことが分かった。</h1>;<h1>I got what she was saying.</h1><span>(ぼくにはかのじょのいうことがわかった。)</span>;34238 33908 34178 34020 45484 45486 45556 45512 45516 45519 45525
What does this mean? <br /><h1>町中見物でもするか？</h1>;<h1>Shall we go sightseeing around town?</h1><span>(まちなかけんぶつでもするか？)</span>;39390 36500 45503 34068 45570
What does this mean? <br /><h1>安価な簡易住宅を提供します。</h1>;<h1>We offer low-cost prefabricated houses.</h1><span>(あんかなかんいじゅうたくをていきょうします。)</span>;36286 35796 34068 45511 45519 45568
What does this mean? <br /><h1>実施設計とは基本設計で決まった計画を、工事ができる図面に書く作業です。</h1>;<h1>Detailed design is the work of drawing up a diagram that is capable of being manufactured from the plan set in the baseline design.</h1><span>(じっしせっけいとはきほんせっけいできまったけいかくを、こうじができるずめんにかくさぎょうです。)</span>;35072 35732 35698 35732 34112 35364 35108 33932 34906 45484 45486 45556 45511 45512 45514 45519 45523 45582 45569
What does this mean? <br /><h1>玄関にも取り付け可能な暗証タイプです。</h1>;<h1>This is a code lock type that you can use on the entranceway as well.</h1><span>(げんかんにもとりつけかのうなあんしょうたいぷです。)</span>;37118 34724 38774 45485 45512 45516 45519 45519 45569
What does this mean? <br /><h1>これは世界の常識であり、資源管理の大原則だ。</h1>;<h1>This is international common sense, the great principle of resource management.</h1><span>(これはせかいのじょうしきであり、しげんかんりのだいげんそくだ。)</span>;33490 35214 40048 45547 41366 36004 37504 39966 45480 45484 45525 45582
What does this mean? <br /><h1>でもあいにくの雨で試合は中止になった。</h1>;<h1>But, unfortunately, the game was called off due to rain.</h1><span>(でもあいにくのあめでしあいはちゅうしになった。)</span>;45503 41724 34992 39432 38506 34278 45484 45556 45512 45514 45525 45582
What does this mean? <br /><h1>彼女と友達になれた時は、それはうれしかったですよ。</h1>;<h1>I was overjoyed when I was able to make friends with her!</h1><span>(かのじょとともだちになれたときは、それはうれしかったですよ。)</span>;33908 33536 33788 33592 45484 45539 45552 45512 45519 45523 45533 45569
What does this mean? <br /><h1>列車に間に合ったのか？！</h1>;<h1>Did you catch the train?!</h1><span>(れっしゃにまにあったのか？！)</span>;41688 36790 45556 45512 45519 45525 45570
What does this mean? <br /><h1>なぜか、急ぐ気は起こらない。時間は、十分ある。</h1>;<h1>Somehow I just don't feel like hurrying. I have enough time.</h1><span>(なぜか、いそぐきはおこらない。じかんは、じゅうぶんある。)</span>;34294 34934 34018 34086 33558 34284 45547 45484 45549 45519 45570
What does this mean? <br /><h1>せっかく弁護士の資格があるのにもったいない。</h1>;<h1>What a waste of your lawyer qualifications!</h1><span>(せっかくべんごしのしかくがあるのにもったいない。)</span>;37496 42278 39994 45547 38292 45486 45512 45519 45525
What does this mean? <br /><h1>男性は色っぽい女性が大好きなのです。</h1>;<h1>Men love amorous women.</h1><span>(だんせいはいろっぽいじょせいがだいすきなのです。)</span>;43426 34806 34194 45484 45486 45519 45525 45569
What does this mean? <br /><h1>最近、以前からある痔が痛みます。</h1>;<h1>Recently my haemorrhoids, which I've had from before, are painful.</h1><span>(さいきん、いぜんからあるじがいたみます。)</span>;34864 38936 45587 45547 43722 45486 45519 45568
What does this mean? <br /><h1>話を聞いたのだから興味がある筈だ。</h1>;<h1>He listened to my pitch, so he must be interested.</h1><span>(はなしをきいたのだからきょうみがあるはずだ。)</span>;35142 33910 45587 43152 45547 45480 45486 45554 45511 45519 45525 45585
What does this mean? <br /><h1>自分の職場に、見るからにとても気が強い女性がいます。</h1>;<h1>In my workplace is a woman who's very strong willed, on the face of it.</h1><span>(じぶんのしょくばに、みるからにとてもきがつよいじょせいがいます。)</span>;33978 41378 33812 45587 33510 34018 33726 34806 45545 45486 45512 45525 45568 45585
What does this mean? <br /><h1>私は、気が強い女が嫌なんです。</h1>;<h1>I hate strong-minded women.</h1><span>(わたしは、きがつよいおんながいやなんです。)</span>;33528 34018 33726 33896 36888 45484 45486 45519 45569
What does this mean? <br /><h1>彼を待ち伏せる一計を案じた。</h1>;<h1>He has a plan to ambush him.</h1><span>(かれをまちぶせるいっけいをあんじた。)</span>;34180 45552 45511 45519
What does this mean? <br /><h1>自分と気があわない、いけ好かない、人がいるとします。</h1>;<h1>Suppose there's some jerk you just can't get on with.</h1><span>(じぶんときがあわない、いけすかない、ひとがいるとします。)</span>;33978 34018 34116 45545 34068 45486 45549 45523 45568
What does this mean? <br /><h1>あなたの引いたカードは赤のマークですね。</h1>;<h1>The card you drew was a red, wasn't it?</h1><span>(あなたのひいたかーどはあかのまーくですね。)</span>;34318 33730 35768 35574 42188 45484 45554 45519 45525 45532 45569
